freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.411e+02,9.017e+01,2.811e+02,5.124e+02
1.6,3.826e+02,3.917e+02,4.591e+02,1.233e+03
3.1,4.215e+02,4.321e+02,3.727e+02,1.226e+03
4.7,4.245e+02,4.079e+02,7.964e+02,1.629e+03
6.2,3.987e+02,4.227e+02,1.687e+03,2.508e+03
7.8,4.120e+02,4.538e+02,2.298e+03,3.164e+03
9.4,3.967e+02,4.816e+02,3.251e+03,4.129e+03
10.9,3.926e+02,4.708e+02,4.562e+03,5.425e+03
12.5,3.607e+02,4.582e+02,6.554e+03,7.373e+03
14.1,3.827e+02,4.591e+02,8.538e+03,9.380e+03
15.6,4.101e+02,4.435e+02,1.104e+04,1.189e+04
17.2,4.123e+02,4.467e+02,1.386e+04,1.472e+04
18.7,4.240e+02,4.937e+02,1.744e+04,1.836e+04
20.3,4.573e+02,5.056e+02,2.078e+04,2.174e+04
21.9,4.262e+02,5.315e+02,2.393e+04,2.489e+04
23.4,4.353e+02,5.250e+02,2.870e+04,2.966e+04
25.0,4.648e+02,4.996e+02,3.626e+04,3.722e+04
26.5,4.780e+02,4.896e+02,4.558e+04,4.655e+04
28.1,5.894e+02,5.405e+02,5.718e+04,5.831e+04
29.7,9.658e+02,6.136e+02,7.192e+04,7.350e+04
31.2,1.760e+03,6.822e+02,9.306e+04,9.550e+04
32.8,4.228e+03,7.151e+02,1.263e+05,1.312e+05
34.3,1.566e+04,8.300e+02,1.764e+05,1.928e+05
35.9,5.274e+04,1.252e+03,2.344e+05,2.883e+05
37.5,9.933e+04,1.784e+03,2.264e+05,3.276e+05
39.0,1.150e+05,1.908e+03,1.342e+05,2.512e+05
40.6,1.070e+05,2.145e+03,6.373e+04,1.728e+05
42.2,1.005e+05,2.534e+03,3.741e+04,1.405e+05
43.7,9.207e+04,2.681e+03,3.498e+04,1.297e+05
45.3,8.040e+04,2.981e+03,4.016e+04,1.235e+05
46.8,6.760e+04,3.848e+03,4.771e+04,1.192e+05
48.4,6.384e+04,5.013e+03,5.536e+04,1.242e+05
50.0,8.277e+04,4.896e+03,8.435e+04,1.720e+05
51.5,1.480e+05,4.354e+03,1.976e+05,3.500e+05
53.1,1.763e+05,3.538e+03,2.685e+05,4.483e+05
54.6,1.451e+05,3.086e+03,2.367e+05,3.848e+05
56.2,1.042e+05,3.287e+03,1.771e+05,2.846e+05
57.8,8.160e+04,3.529e+03,1.401e+05,2.253e+05
59.3,6.713e+04,4.547e+03,1.152e+05,1.869e+05
60.9,5.617e+04,5.114e+03,9.601e+04,1.573e+05
62.4,4.807e+04,5.886e+03,8.387e+04,1.378e+05
64.0,4.242e+04,6.187e+03,7.499e+04,1.236e+05
65.6,3.670e+04,5.569e+03,6.452e+04,1.068e+05
67.1,3.252e+04,4.852e+03,5.649e+04,9.386e+04
68.7,2.940e+04,4.519e+03,5.159e+04,8.551e+04
70.3,2.669e+04,4.368e+03,4.690e+04,7.796e+04
71.8,2.484e+04,4.402e+03,4.369e+04,7.293e+04
73.4,2.268e+04,4.273e+03,4.372e+04,7.068e+04
74.9,2.083e+04,3.657e+03,4.525e+04,6.974e+04
76.5,1.965e+04,3.149e+03,4.767e+04,7.047e+04
78.1,1.914e+04,2.726e+03,5.120e+04,7.307e+04
79.6,1.840e+04,2.650e+03,5.319e+04,7.423e+04
81.2,1.733e+04,2.716e+03,5.388e+04,7.392e+04
82.7,1.601e+04,2.629e+03,5.392e+04,7.256e+04
84.3,1.494e+04,2.571e+03,5.318e+04,7.068e+04
85.9,1.361e+04,2.742e+03,5.133e+04,6.769e+04
87.4,1.123e+04,2.607e+03,5.124e+04,6.507e+04
89.0,9.142e+03,2.324e+03,5.330e+04,6.477e+04
90.5,7.484e+03,2.081e+03,5.760e+04,6.717e+04
92.1,5.925e+03,1.930e+03,6.214e+04,6.999e+04
93.7,4.641e+03,1.777e+03,6.537e+04,7.179e+04
95.2,3.495e+03,1.618e+03,6.576e+04,7.088e+04
96.8,2.638e+03,1.480e+03,6.245e+04,6.657e+04
98.4,2.254e+03,1.969e+03,5.657e+04,6.079e+04
99.9,1.993e+03,1.457e+03,5.489e+04,5.834e+04
101.5,2.402e+03,1.304e+03,5.716e+04,6.087e+04
103.0,3.246e+03,1.760e+03,6.078e+04,6.578e+04
104.6,4.127e+03,2.307e+03,6.214e+04,6.857e+04
106.2,4.669e+03,3.053e+03,6.118e+04,6.890e+04
107.7,4.829e+03,3.153e+03,6.151e+04,6.949e+04
109.3,4.797e+03,2.644e+03,6.269e+04,7.013e+04
110.8,6.050e+03,2.182e+03,6.488e+04,7.311e+04
112.4,8.257e+03,1.860e+03,6.731e+04,7.743e+04
114.0,1.087e+04,1.790e+03,7.565e+04,8.832e+04
115.5,1.295e+04,1.886e+03,8.432e+04,9.916e+04
117.1,1.430e+04,2.157e+03,8.423e+04,1.007e+05
118.6,1.559e+04,2.455e+03,7.819e+04,9.624e+04
120.2,1.826e+04,5.900e+03,7.775e+04,1.019e+05
121.8,1.809e+04,7.331e+03,6.988e+04,9.530e+04
123.3,1.431e+04,4.063e+03,5.618e+04,7.455e+04
124.9,1.260e+04,3.905e+03,5.743e+04,7.393e+04
126.5,1.033e+04,3.640e+03,5.902e+04,7.300e+04
128.0,9.284e+03,3.379e+03,6.150e+04,7.417e+04
129.6,8.701e+03,2.920e+03,6.078e+04,7.240e+04
131.1,7.057e+03,2.579e+03,5.588e+04,6.552e+04
132.7,4.253e+03,2.171e+03,3.387e+04,4.029e+04
134.3,1.221e+03,1.641e+03,6.196e+03,9.058e+03
135.8,7.635e+02,1.325e+03,2.313e+03,4.401e+03
137.4,7.957e+02,1.043e+03,1.995e+03,3.834e+03
138.9,8.280e+02,1.017e+03,1.716e+03,3.561e+03
140.5,6.881e+02,1.101e+03,1.553e+03,3.342e+03
142.1,6.037e+02,1.365e+03,1.815e+03,3.783e+03
143.6,6.896e+02,1.799e+03,2.130e+03,4.618e+03
145.2,8.780e+02,2.187e+03,2.238e+03,5.303e+03
146.7,1.118e+03,2.714e+03,2.624e+03,6.456e+03
148.3,1.239e+03,3.421e+03,2.762e+03,7.422e+03
149.9,1.207e+03,3.372e+03,3.032e+03,7.611e+03
151.4,1.160e+03,3.071e+03,3.102e+03,7.332e+03
153.0,1.190e+03,2.640e+03,3.733e+03,7.562e+03
154.6,1.053e+03,2.381e+03,3.866e+03,7.300e+03
156.1,8.353e+02,2.402e+03,3.759e+03,6.996e+03
157.7,7.753e+02,2.401e+03,4.142e+03,7.318e+03
159.2,9.158e+02,2.539e+03,4.248e+03,7.702e+03
160.8,9.317e+02,2.482e+03,3.931e+03,7.345e+03
162.4,9.615e+02,2.358e+03,3.707e+03,7.027e+03
