freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.872e+02,2.170e+02,1.808e+02,1.285e+03
1.4,1.205e+03,8.354e+02,8.647e+02,2.905e+03
2.9,9.896e+02,9.852e+02,9.364e+02,2.911e+03
4.3,1.028e+03,8.940e+02,7.751e+02,2.698e+03
5.8,1.683e+03,6.938e+02,6.572e+02,3.034e+03
7.2,2.360e+03,6.756e+02,5.949e+02,3.631e+03
8.6,2.878e+03,5.906e+02,4.992e+02,3.968e+03
10.1,3.744e+03,5.173e+02,4.243e+02,4.685e+03
11.5,4.780e+03,4.964e+02,4.030e+02,5.679e+03
13.0,5.885e+03,4.529e+02,4.017e+02,6.739e+03
14.4,7.359e+03,4.750e+02,3.684e+02,8.203e+03
15.8,8.806e+03,4.425e+02,3.539e+02,9.602e+03
17.3,1.044e+04,4.685e+02,3.886e+02,1.130e+04
18.7,1.293e+04,5.140e+02,4.154e+02,1.386e+04
20.2,1.506e+04,5.343e+02,4.537e+02,1.605e+04
21.6,1.792e+04,5.596e+02,4.314e+02,1.891e+04
23.0,2.133e+04,6.699e+02,4.916e+02,2.249e+04
24.5,2.475e+04,8.547e+02,6.109e+02,2.622e+04
25.9,2.852e+04,9.062e+02,7.058e+02,3.013e+04
27.4,3.237e+04,8.722e+02,7.207e+02,3.396e+04
28.8,3.736e+04,8.564e+02,7.231e+02,3.894e+04
30.2,4.330e+04,8.358e+02,6.646e+02,4.480e+04
31.7,5.004e+04,7.905e+02,5.884e+02,5.142e+04
33.1,5.953e+04,7.719e+02,5.162e+02,6.081e+04
34.6,7.032e+04,8.292e+02,4.931e+02,7.164e+04
36.0,8.333e+04,8.807e+02,4.457e+02,8.466e+04
37.5,9.936e+04,9.415e+02,4.218e+02,1.007e+05
38.9,1.215e+05,1.100e+03,4.628e+02,1.230e+05
40.3,1.452e+05,1.305e+03,7.477e+02,1.473e+05
41.8,1.559e+05,1.222e+03,1.423e+03,1.586e+05
43.2,1.783e+05,1.200e+03,1.644e+03,1.811e+05
44.7,2.259e+05,1.460e+03,1.691e+03,2.290e+05
46.1,2.899e+05,1.959e+03,1.917e+03,2.938e+05
47.5,3.610e+05,2.621e+03,2.514e+03,3.662e+05
49.0,4.296e+05,3.284e+03,3.727e+03,4.366e+05
50.4,4.981e+05,3.667e+03,6.160e+03,5.080e+05
51.9,5.784e+05,4.920e+03,8.888e+03,5.922e+05
53.3,7.609e+05,8.580e+03,9.060e+03,7.785e+05
54.7,1.038e+06,1.230e+04,1.299e+04,1.063e+06
56.2,1.433e+06,2.409e+04,2.107e+04,1.478e+06
57.6,2.040e+06,4.074e+04,1.948e+04,2.100e+06
59.1,2.650e+06,4.568e+04,2.487e+04,2.720e+06
60.5,3.292e+06,6.785e+04,3.427e+04,3.394e+06
61.9,3.505e+06,1.051e+05,3.783e+04,3.647e+06
63.4,3.094e+06,1.251e+05,3.492e+04,3.254e+06
64.8,2.487e+06,1.411e+05,3.070e+04,2.659e+06
66.3,2.019e+06,1.802e+05,3.429e+04,2.234e+06
67.7,1.810e+06,2.305e+05,4.974e+04,2.090e+06
69.1,1.592e+06,2.667e+05,7.024e+04,1.929e+06
70.6,1.357e+06,2.691e+05,8.284e+04,1.709e+06
72.0,1.153e+06,2.231e+05,7.524e+04,1.451e+06
73.5,9.806e+05,1.493e+05,5.532e+04,1.185e+06
74.9,8.001e+05,8.930e+04,3.948e+04,9.289e+05
76.3,6.397e+05,5.546e+04,3.075e+04,7.259e+05
77.8,5.111e+05,3.782e+04,2.640e+04,5.753e+05
79.2,4.169e+05,2.816e+04,2.423e+04,4.692e+05
80.7,3.549e+05,2.302e+04,2.428e+04,4.022e+05
82.1,3.054e+05,1.882e+04,2.541e+04,3.496e+05
83.5,2.684e+05,1.567e+04,2.957e+04,3.136e+05
85.0,2.373e+05,1.297e+04,3.164e+04,2.819e+05
86.4,2.096e+05,1.135e+04,3.142e+04,2.524e+05
87.9,1.885e+05,1.107e+04,3.318e+04,2.327e+05
89.3,1.746e+05,1.376e+04,3.380e+04,2.221e+05
90.7,1.602e+05,1.758e+04,2.923e+04,2.070e+05
92.2,1.451e+05,2.082e+04,2.356e+04,1.895e+05
93.6,1.309e+05,2.214e+04,1.873e+04,1.718e+05
95.1,1.215e+05,2.301e+04,1.501e+04,1.596e+05
96.5,1.175e+05,2.437e+04,1.171e+04,1.535e+05
98.0,1.090e+05,2.348e+04,8.160e+03,1.407e+05
99.4,9.330e+04,2.084e+04,6.464e+03,1.206e+05
100.8,8.264e+04,1.942e+04,5.507e+03,1.076e+05
102.3,7.339e+04,1.795e+04,4.078e+03,9.542e+04
103.7,6.847e+04,1.915e+04,3.431e+03,9.105e+04
105.2,7.953e+04,2.804e+04,3.889e+03,1.115e+05
106.6,1.002e+05,4.254e+04,4.215e+03,1.470e+05
108.0,1.319e+05,6.059e+04,3.317e+03,1.958e+05
109.5,1.791e+05,8.234e+04,1.917e+03,2.633e+05
110.9,1.973e+05,9.115e+04,2.071e+03,2.905e+05
112.4,1.843e+05,7.463e+04,2.014e+03,2.610e+05
113.8,1.808e+05,6.717e+04,3.543e+03,2.516e+05
115.2,2.020e+05,8.537e+04,6.695e+03,2.941e+05
116.7,2.077e+05,1.173e+05,5.614e+03,3.306e+05
118.1,1.756e+05,1.154e+05,4.302e+03,2.953e+05
119.6,1.660e+05,1.134e+05,7.464e+03,2.868e+05
121.0,1.728e+05,1.118e+05,1.355e+04,2.981e+05
122.4,1.889e+05,1.106e+05,2.349e+04,3.229e+05
123.9,2.236e+05,1.089e+05,4.854e+04,3.810e+05
125.3,3.343e+05,1.470e+05,1.045e+05,5.858e+05
126.8,4.741e+05,2.069e+05,1.569e+05,8.380e+05
128.2,5.531e+05,2.272e+05,1.577e+05,9.380e+05
129.6,5.652e+05,2.366e+05,1.450e+05,9.467e+05
131.1,4.948e+05,2.127e+05,1.138e+05,8.213e+05
132.5,2.965e+05,1.239e+05,5.871e+04,4.791e+05
134.0,5.295e+04,2.756e+04,1.315e+04,9.367e+04
135.4,7.920e+03,1.067e+04,5.930e+03,2.452e+04
136.8,1.787e+04,1.304e+04,1.896e+04,4.986e+04
138.3,8.606e+04,2.504e+04,9.590e+04,2.070e+05
139.7,1.360e+05,3.545e+04,1.502e+05,3.216e+05
141.2,9.512e+04,2.614e+04,1.028e+05,2.241e+05
142.6,4.418e+04,1.588e+04,4.671e+04,1.068e+05
144.0,1.955e+04,1.406e+04,2.077e+04,5.437e+04
145.5,1.150e+04,1.677e+04,1.026e+04,3.853e+04
146.9,8.503e+03,1.883e+04,6.573e+03,3.390e+04
148.4,8.686e+03,2.161e+04,6.789e+03,3.708e+04
149.8,8.683e+03,2.343e+04,7.272e+03,3.939e+04
151.2,5.503e+03,2.479e+04,6.684e+03,3.697e+04
152.7,3.086e+03,2.722e+04,6.734e+03,3.704e+04
154.1,1.939e+03,3.247e+04,7.245e+03,4.165e+04
155.6,1.595e+03,3.773e+04,8.849e+03,4.817e+04
157.0,1.444e+03,3.952e+04,1.048e+04,5.144e+04
158.5,1.426e+03,4.127e+04,1.149e+04,5.419e+04
159.9,1.509e+03,4.410e+04,1.188e+04,5.749e+04
161.3,1.786e+03,4.975e+04,1.150e+04,6.304e+04
162.8,2.084e+03,5.777e+04,1.124e+04,7.109e+04
164.2,2.200e+03,6.816e+04,1.441e+04,8.477e+04
165.7,2.304e+03,8.092e+04,2.480e+04,1.080e+05
167.1,2.860e+03,8.516e+04,4.305e+04,1.311e+05
168.5,3.542e+03,7.944e+04,6.885e+04,1.518e+05
170.0,4.225e+03,7.202e+04,9.588e+04,1.721e+05
171.4,5.312e+03,6.291e+04,1.162e+05,1.844e+05
172.9,6.667e+03,5.515e+04,1.266e+05,1.884e+05
174.3,8.163e+03,4.964e+04,1.263e+05,1.841e+05
175.7,1.018e+04,4.937e+04,1.203e+05,1.799e+05
177.2,1.296e+04,5.396e+04,1.114e+05,1.783e+05
178.6,1.654e+04,6.567e+04,1.064e+05,1.886e+05
180.1,2.012e+04,7.248e+04,9.624e+04,1.888e+05
181.5,2.327e+04,7.324e+04,8.190e+04,1.784e+05
182.9,2.568e+04,7.140e+04,6.632e+04,1.634e+05
184.4,2.639e+04,6.488e+04,5.338e+04,1.447e+05
185.8,2.506e+04,5.676e+04,4.420e+04,1.260e+05
187.3,2.231e+04,5.004e+04,3.810e+04,1.104e+05
188.7,1.924e+04,4.428e+04,3.528e+04,9.881e+04
190.1,1.737e+04,4.288e+04,3.518e+04,9.544e+04
191.6,1.579e+04,4.369e+04,3.624e+04,9.572e+04
193.0,1.374e+04,4.680e+04,4.102e+04,1.016e+05
194.5,1.189e+04,5.452e+04,5.166e+04,1.181e+05
195.9,1.244e+04,7.643e+04,6.819e+04,1.571e+05
197.3,1.434e+04,1.030e+05,8.268e+04,2.000e+05
198.8,1.609e+04,1.355e+05,9.697e+04,2.485e+05
