freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.855e+02,5.445e+00,5.960e+00,3.969e+02
1.6,2.224e+02,1.337e+01,1.971e+01,2.555e+02
3.1,2.226e+01,1.349e+01,1.975e+01,5.551e+01
4.7,3.646e+02,1.302e+01,2.052e+01,3.981e+02
6.3,1.212e+03,1.372e+01,2.138e+01,1.247e+03
7.9,1.893e+03,1.371e+01,2.110e+01,1.928e+03
9.4,2.673e+03,1.342e+01,2.246e+01,2.709e+03
11.0,3.582e+03,1.316e+01,2.356e+01,3.619e+03
12.6,4.663e+03,1.381e+01,2.512e+01,4.702e+03
14.1,5.818e+03,1.412e+01,2.661e+01,5.858e+03
15.7,7.129e+03,1.457e+01,2.766e+01,7.171e+03
17.3,8.577e+03,1.411e+01,2.969e+01,8.621e+03
18.9,1.022e+04,1.409e+01,2.916e+01,1.026e+04
20.4,1.219e+04,1.304e+01,2.974e+01,1.223e+04
22.0,1.516e+04,1.402e+01,3.246e+01,1.521e+04
23.6,1.901e+04,1.431e+01,4.249e+01,1.906e+04
25.1,2.263e+04,1.446e+01,5.420e+01,2.270e+04
26.7,2.578e+04,1.418e+01,5.979e+01,2.585e+04
28.3,2.866e+04,1.524e+01,6.083e+01,2.874e+04
29.9,3.160e+04,1.495e+01,6.380e+01,3.168e+04
31.4,3.560e+04,1.878e+01,7.209e+01,3.569e+04
33.0,4.161e+04,2.164e+01,8.719e+01,4.172e+04
34.6,4.829e+04,2.378e+01,9.020e+01,4.840e+04
36.1,5.455e+04,2.118e+01,8.373e+01,5.465e+04
37.7,6.098e+04,2.006e+01,8.203e+01,6.109e+04
39.3,6.871e+04,1.745e+01,8.593e+01,6.881e+04
40.9,7.840e+04,1.712e+01,9.836e+01,7.852e+04
42.4,8.920e+04,1.892e+01,1.157e+02,8.933e+04
44.0,1.007e+05,2.067e+01,1.349e+02,1.008e+05
45.6,1.118e+05,2.522e+01,1.586e+02,1.120e+05
47.1,1.225e+05,3.222e+01,1.663e+02,1.227e+05
48.7,1.367e+05,4.327e+01,1.928e+02,1.369e+05
50.3,1.532e+05,6.016e+01,2.080e+02,1.534e+05
51.9,1.724e+05,9.507e+01,2.239e+02,1.727e+05
53.4,1.933e+05,1.340e+02,2.487e+02,1.937e+05
55.0,2.209e+05,1.739e+02,2.668e+02,2.213e+05
56.6,2.595e+05,1.903e+02,3.058e+02,2.600e+05
58.1,3.076e+05,2.265e+02,4.454e+02,3.083e+05
59.7,3.725e+05,3.089e+02,6.397e+02,3.734e+05
61.3,4.721e+05,4.655e+02,9.741e+02,4.736e+05
62.9,6.190e+05,6.487e+02,1.557e+03,6.212e+05
64.4,8.258e+05,1.493e+03,2.952e+03,8.303e+05
66.0,1.092e+06,4.070e+03,5.323e+03,1.101e+06
67.6,1.272e+06,7.651e+03,7.553e+03,1.288e+06
69.1,1.272e+06,9.359e+03,9.362e+03,1.291e+06
70.7,1.174e+06,8.227e+03,9.656e+03,1.192e+06
72.3,1.020e+06,5.406e+03,7.991e+03,1.034e+06
73.9,8.632e+05,3.545e+03,5.794e+03,8.725e+05
75.4,7.337e+05,3.957e+03,3.968e+03,7.416e+05
77.0,6.282e+05,4.893e+03,2.697e+03,6.358e+05
78.6,5.422e+05,5.154e+03,1.751e+03,5.491e+05
80.1,4.491e+05,4.984e+03,1.226e+03,4.553e+05
81.7,3.634e+05,4.969e+03,9.714e+02,3.694e+05
83.3,2.873e+05,4.682e+03,7.590e+02,2.928e+05
84.9,2.179e+05,3.703e+03,4.917e+02,2.221e+05
86.4,1.651e+05,2.548e+03,3.593e+02,1.680e+05
88.0,1.274e+05,1.727e+03,3.663e+02,1.295e+05
89.6,1.166e+05,1.307e+03,5.995e+02,1.185e+05
91.1,1.510e+05,1.154e+03,1.210e+03,1.534e+05
92.7,2.224e+05,1.071e+03,1.903e+03,2.254e+05
94.3,2.763e+05,1.061e+03,3.359e+03,2.807e+05
95.9,3.061e+05,1.291e+03,5.461e+03,3.129e+05
97.4,3.708e+05,1.844e+03,8.397e+03,3.811e+05
99.0,3.850e+05,1.798e+03,8.310e+03,3.951e+05
100.6,3.528e+05,1.508e+03,7.262e+03,3.616e+05
102.1,3.249e+05,1.060e+03,5.858e+03,3.318e+05
103.7,3.236e+05,7.149e+02,4.895e+03,3.292e+05
105.3,3.315e+05,6.910e+02,4.988e+03,3.372e+05
106.9,3.462e+05,1.085e+03,5.502e+03,3.528e+05
108.4,3.383e+05,1.582e+03,5.010e+03,3.449e+05
110.0,3.007e+05,1.450e+03,3.326e+03,3.055e+05
111.6,2.621e+05,1.551e+03,2.281e+03,2.659e+05
113.1,2.386e+05,1.375e+03,1.714e+03,2.417e+05
114.7,2.356e+05,1.437e+03,1.010e+03,2.381e+05
116.3,2.136e+05,1.605e+03,5.756e+02,2.157e+05
117.9,1.864e+05,1.756e+03,5.215e+02,1.887e+05
119.4,2.261e+05,1.572e+03,1.388e+03,2.290e+05
121.0,2.669e+05,1.206e+03,2.929e+03,2.710e+05
122.6,2.873e+05,8.322e+02,4.053e+03,2.922e+05
124.1,2.904e+05,7.564e+02,4.007e+03,2.952e+05
125.7,2.736e+05,9.908e+02,4.383e+03,2.790e+05
127.3,2.609e+05,1.555e+03,3.990e+03,2.665e+05
128.9,2.522e+05,2.033e+03,3.129e+03,2.574e+05
130.4,2.336e+05,2.452e+03,1.901e+03,2.379e+05
132.0,1.979e+05,2.659e+03,1.438e+03,2.020e+05
133.6,7.257e+04,1.184e+03,8.858e+02,7.464e+04
135.1,1.117e+04,4.975e+02,3.176e+02,1.198e+04
136.7,1.004e+04,6.219e+02,2.367e+02,1.090e+04
138.3,1.029e+04,6.775e+02,2.507e+02,1.121e+04
139.9,9.977e+03,8.185e+02,3.619e+02,1.116e+04
141.4,1.001e+04,1.011e+03,4.994e+02,1.152e+04
143.0,9.839e+03,1.215e+03,6.449e+02,1.170e+04
144.6,9.457e+03,1.065e+03,6.516e+02,1.117e+04
146.1,9.262e+03,9.078e+02,6.433e+02,1.081e+04
147.7,9.347e+03,8.884e+02,6.730e+02,1.091e+04
149.3,9.084e+03,9.242e+02,6.730e+02,1.068e+04
150.9,9.165e+03,9.299e+02,6.488e+02,1.074e+04
152.4,9.584e+03,8.958e+02,6.041e+02,1.108e+04
154.0,9.814e+03,8.740e+02,5.319e+02,1.122e+04
155.6,1.049e+04,8.880e+02,4.996e+02,1.188e+04
157.1,1.136e+04,8.961e+02,5.199e+02,1.278e+04
158.7,1.174e+04,8.564e+02,5.160e+02,1.312e+04
160.3,1.125e+04,7.409e+02,4.898e+02,1.248e+04
161.9,1.124e+04,6.085e+02,4.944e+02,1.235e+04
163.4,1.158e+04,5.461e+02,4.863e+02,1.261e+04
165.0,1.109e+04,5.166e+02,4.358e+02,1.204e+04
166.6,1.068e+04,5.343e+02,3.822e+02,1.160e+04
168.1,1.078e+04,6.087e+02,3.342e+02,1.173e+04
169.7,1.096e+04,6.737e+02,2.987e+02,1.193e+04
171.3,1.087e+04,6.913e+02,2.814e+02,1.184e+04
172.9,1.067e+04,7.083e+02,2.439e+02,1.162e+04
174.4,1.078e+04,7.534e+02,2.390e+02,1.177e+04
176.0,1.149e+04,8.447e+02,2.361e+02,1.257e+04
177.6,1.126e+04,8.699e+02,2.317e+02,1.236e+04
179.1,1.088e+04,8.780e+02,2.280e+02,1.199e+04
180.7,1.084e+04,8.801e+02,2.431e+02,1.196e+04
182.3,1.121e+04,9.285e+02,2.691e+02,1.241e+04
183.9,1.146e+04,1.003e+03,3.559e+02,1.282e+04
185.4,1.102e+04,1.050e+03,4.870e+02,1.256e+04
187.0,1.072e+04,1.121e+03,6.531e+02,1.249e+04
188.6,1.122e+04,1.211e+03,7.601e+02,1.320e+04
190.1,1.137e+04,1.083e+03,5.977e+02,1.305e+04
191.7,1.087e+04,8.235e+02,4.994e+02,1.219e+04
193.3,1.040e+04,5.590e+02,4.576e+02,1.141e+04
194.9,9.975e+03,4.741e+02,4.290e+02,1.088e+04
196.4,9.845e+03,5.399e+02,3.902e+02,1.078e+04
198.0,9.869e+03,6.601e+02,3.332e+02,1.086e+04
199.6,1.034e+04,8.012e+02,3.416e+02,1.148e+04
