freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.562e+01,1.981e+01,3.740e+02,4.094e+02
1.5,4.789e+01,6.082e+01,2.989e+02,4.076e+02
3.1,5.460e+01,5.372e+01,1.080e+02,2.163e+02
4.6,5.189e+01,4.848e+01,4.542e+02,5.546e+02
6.1,6.168e+01,5.075e+01,1.338e+03,1.451e+03
7.7,5.526e+01,5.108e+01,1.947e+03,2.053e+03
9.2,4.490e+01,4.877e+01,2.839e+03,2.933e+03
10.7,4.343e+01,4.364e+01,3.823e+03,3.910e+03
12.3,5.765e+01,4.314e+01,5.074e+03,5.175e+03
13.8,8.078e+01,3.756e+01,6.857e+03,6.976e+03
15.3,6.534e+01,4.747e+01,8.998e+03,9.111e+03
16.9,5.482e+01,5.609e+01,1.153e+04,1.164e+04
18.4,5.065e+01,5.256e+01,1.404e+04,1.414e+04
19.9,4.433e+01,5.502e+01,1.657e+04,1.667e+04
21.5,4.403e+01,5.461e+01,2.026e+04,2.036e+04
23.0,5.880e+01,4.849e+01,2.506e+04,2.516e+04
24.5,6.778e+01,5.305e+01,3.077e+04,3.089e+04
26.1,5.630e+01,4.576e+01,3.581e+04,3.591e+04
27.6,6.392e+01,5.012e+01,4.119e+04,4.130e+04
29.1,7.689e+01,6.836e+01,5.014e+04,5.029e+04
30.7,6.789e+01,5.785e+01,6.257e+04,6.270e+04
32.2,5.328e+01,5.481e+01,7.911e+04,7.922e+04
33.7,5.441e+01,5.517e+01,1.017e+05,1.018e+05
35.3,6.546e+01,6.999e+01,1.329e+05,1.330e+05
36.8,7.317e+01,7.281e+01,1.785e+05,1.787e+05
38.3,9.507e+01,9.435e+01,2.507e+05,2.509e+05
39.9,1.579e+02,1.249e+02,3.697e+05,3.699e+05
41.4,2.165e+02,1.651e+02,4.618e+05,4.622e+05
42.9,3.007e+02,2.421e+02,5.495e+05,5.501e+05
44.5,4.012e+02,3.711e+02,5.854e+05,5.861e+05
46.0,8.778e+02,5.088e+02,5.153e+05,5.167e+05
47.5,1.692e+03,1.090e+03,4.359e+05,4.387e+05
49.1,1.848e+03,3.830e+03,3.953e+05,4.009e+05
50.6,1.571e+03,1.041e+04,4.082e+05,4.201e+05
52.1,9.394e+02,1.540e+04,4.056e+05,4.219e+05
53.7,4.285e+02,1.365e+04,3.557e+05,3.698e+05
55.2,3.297e+02,9.013e+03,3.213e+05,3.307e+05
56.7,2.518e+02,8.630e+03,3.248e+05,3.337e+05
58.3,1.651e+02,1.039e+04,2.964e+05,3.069e+05
59.8,1.733e+02,1.147e+04,2.606e+05,2.722e+05
61.3,2.186e+02,1.135e+04,2.386e+05,2.501e+05
62.9,3.197e+02,1.086e+04,2.183e+05,2.295e+05
64.4,4.397e+02,1.064e+04,2.065e+05,2.175e+05
65.9,4.048e+02,1.006e+04,2.046e+05,2.151e+05
67.5,2.356e+02,8.690e+03,2.056e+05,2.145e+05
69.0,1.227e+02,6.678e+03,2.032e+05,2.100e+05
70.5,1.039e+02,5.009e+03,1.942e+05,1.993e+05
72.1,1.463e+02,4.128e+03,1.859e+05,1.902e+05
73.6,1.949e+02,3.812e+03,1.767e+05,1.807e+05
75.1,2.091e+02,3.993e+03,1.685e+05,1.727e+05
76.7,2.072e+02,4.505e+03,1.586e+05,1.633e+05
78.2,2.254e+02,5.359e+03,1.464e+05,1.520e+05
79.7,1.322e+03,6.495e+03,1.323e+05,1.401e+05
81.3,3.476e+03,6.654e+03,1.202e+05,1.303e+05
82.8,1.405e+03,5.791e+03,1.106e+05,1.178e+05
84.3,1.411e+03,5.884e+03,9.696e+04,1.043e+05
85.9,2.325e+03,5.629e+03,8.590e+04,9.386e+04
87.4,3.108e+03,5.417e+03,7.890e+04,8.742e+04
88.9,3.414e+03,5.328e+03,7.305e+04,8.179e+04
90.5,3.071e+03,5.166e+03,6.936e+04,7.759e+04
92.0,2.326e+03,5.059e+03,6.906e+04,7.645e+04
93.5,1.768e+03,5.050e+03,6.889e+04,7.571e+04
95.1,1.444e+03,5.023e+03,6.734e+04,7.381e+04
96.6,1.189e+03,5.075e+03,6.708e+04,7.334e+04
98.1,1.072e+03,5.150e+03,6.806e+04,7.428e+04
99.7,1.097e+03,5.220e+03,6.779e+04,7.411e+04
101.2,1.277e+03,5.086e+03,6.582e+04,7.218e+04
102.7,1.582e+03,4.918e+03,6.518e+04,7.168e+04
104.3,2.064e+03,4.884e+03,6.527e+04,7.222e+04
105.8,2.559e+03,4.871e+03,6.415e+04,7.158e+04
107.3,3.150e+03,4.868e+03,6.130e+04,6.932e+04
108.9,3.993e+03,4.682e+03,5.567e+04,6.435e+04
110.4,4.848e+03,4.506e+03,5.077e+04,6.013e+04
111.9,5.576e+03,4.389e+03,4.604e+04,5.601e+04
113.5,5.477e+03,4.417e+03,4.211e+04,5.201e+04
115.0,4.673e+03,4.709e+03,4.033e+04,4.972e+04
116.5,3.812e+03,5.319e+03,4.000e+04,4.913e+04
118.1,3.255e+03,6.076e+03,4.118e+04,5.051e+04
119.6,3.255e+03,8.213e+03,4.504e+04,5.651e+04
121.1,4.018e+03,1.310e+04,5.167e+04,6.879e+04
122.7,4.920e+03,1.666e+04,5.537e+04,7.695e+04
124.2,5.730e+03,1.504e+04,5.046e+04,7.123e+04
125.7,6.293e+03,1.106e+04,3.989e+04,5.725e+04
127.3,7.172e+03,7.879e+03,3.030e+04,4.535e+04
128.8,8.306e+03,6.251e+03,2.594e+04,4.050e+04
130.3,7.948e+03,6.728e+03,2.676e+04,4.144e+04
131.9,7.137e+03,7.103e+03,2.612e+04,4.036e+04
133.4,4.269e+03,3.392e+03,1.076e+04,1.842e+04
134.9,2.811e+03,9.523e+02,1.207e+03,4.970e+03
136.5,2.855e+03,8.263e+02,6.674e+02,4.349e+03
138.0,2.791e+03,7.978e+02,5.999e+02,4.189e+03
139.5,2.539e+03,7.470e+02,6.414e+02,3.928e+03
141.1,2.307e+03,7.657e+02,6.948e+02,3.767e+03
142.6,2.377e+03,8.784e+02,7.537e+02,4.009e+03
144.1,2.216e+03,1.071e+03,9.426e+02,4.229e+03
145.6,1.828e+03,1.032e+03,9.708e+02,3.831e+03
