freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.834e+02,6.919e+01,9.527e+01,7.479e+02
1.4,6.757e+02,3.434e+02,4.106e+02,1.430e+03
2.9,4.489e+02,3.738e+02,4.644e+02,1.287e+03
4.3,6.649e+02,3.914e+02,4.674e+02,1.524e+03
5.7,1.601e+03,4.201e+02,5.322e+02,2.554e+03
7.2,2.354e+03,4.324e+02,5.465e+02,3.333e+03
8.6,3.093e+03,4.759e+02,5.678e+02,4.137e+03
10.0,3.807e+03,4.553e+02,5.883e+02,4.850e+03
11.5,4.472e+03,4.128e+02,5.544e+02,5.439e+03
12.9,5.451e+03,4.296e+02,5.651e+02,6.446e+03
14.3,6.437e+03,4.059e+02,5.419e+02,7.385e+03
15.8,7.682e+03,4.107e+02,5.266e+02,8.619e+03
17.2,9.056e+03,4.487e+02,5.136e+02,1.002e+04
18.6,1.025e+04,4.962e+02,5.756e+02,1.133e+04
20.1,1.191e+04,5.523e+02,6.023e+02,1.306e+04
21.5,1.353e+04,5.600e+02,6.608e+02,1.475e+04
23.0,1.640e+04,6.302e+02,7.527e+02,1.779e+04
24.4,1.971e+04,6.907e+02,7.968e+02,2.120e+04
25.8,2.255e+04,8.375e+02,9.590e+02,2.435e+04
27.3,2.417e+04,9.863e+02,1.063e+03,2.622e+04
28.7,2.586e+04,9.709e+02,1.081e+03,2.791e+04
30.1,2.827e+04,9.084e+02,1.064e+03,3.024e+04
31.6,3.130e+04,8.346e+02,9.749e+02,3.311e+04
33.0,3.522e+04,9.519e+02,1.018e+03,3.719e+04
34.4,3.950e+04,9.125e+02,9.978e+02,4.141e+04
35.9,4.486e+04,7.328e+02,8.799e+02,4.647e+04
37.3,4.929e+04,7.512e+02,8.808e+02,5.092e+04
38.7,5.399e+04,6.426e+02,8.051e+02,5.543e+04
40.2,6.052e+04,5.741e+02,7.501e+02,6.184e+04
41.6,6.743e+04,4.884e+02,6.618e+02,6.858e+04
43.0,7.679e+04,4.233e+02,6.016e+02,7.781e+04
44.5,8.829e+04,3.661e+02,5.822e+02,8.923e+04
45.9,9.791e+04,3.197e+02,5.258e+02,9.876e+04
47.3,1.029e+05,3.478e+02,5.491e+02,1.038e+05
48.8,1.103e+05,3.444e+02,6.130e+02,1.113e+05
50.2,1.208e+05,3.366e+02,6.579e+02,1.217e+05
51.6,1.299e+05,3.311e+02,7.792e+02,1.310e+05
53.1,1.420e+05,3.061e+02,8.834e+02,1.432e+05
54.5,1.622e+05,3.084e+02,1.090e+03,1.636e+05
55.9,1.893e+05,3.316e+02,1.560e+03,1.912e+05
57.4,2.227e+05,3.511e+02,2.015e+03,2.251e+05
58.8,2.614e+05,3.196e+02,2.150e+03,2.639e+05
60.3,3.210e+05,3.183e+02,2.752e+03,3.240e+05
61.7,4.007e+05,4.155e+02,4.338e+03,4.054e+05
63.1,4.947e+05,5.176e+02,5.520e+03,5.008e+05
64.6,6.259e+05,5.516e+02,6.734e+03,6.331e+05
66.0,8.113e+05,7.466e+02,1.228e+04,8.243e+05
67.4,1.071e+06,1.051e+03,1.974e+04,1.092e+06
68.9,1.515e+06,1.394e+03,1.950e+04,1.536e+06
70.3,2.134e+06,2.334e+03,1.576e+04,2.152e+06
71.7,2.627e+06,4.178e+03,1.553e+04,2.646e+06
