freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.446e+02,4.249e+02,1.016e+03,1.585e+03
1.4,8.077e+02,2.109e+03,1.554e+03,4.470e+03
2.9,1.110e+03,2.154e+03,1.421e+03,4.684e+03
4.3,1.219e+03,1.916e+03,1.533e+03,4.668e+03
5.7,1.231e+03,2.125e+03,2.215e+03,5.571e+03
7.2,1.285e+03,2.287e+03,3.086e+03,6.658e+03
8.6,1.492e+03,2.373e+03,3.676e+03,7.540e+03
10.0,1.297e+03,2.289e+03,4.476e+03,8.062e+03
11.5,1.317e+03,2.438e+03,5.674e+03,9.428e+03
12.9,1.340e+03,2.312e+03,7.087e+03,1.074e+04
14.3,1.613e+03,2.457e+03,8.839e+03,1.291e+04
15.8,1.678e+03,2.808e+03,1.117e+04,1.566e+04
17.2,2.211e+03,2.586e+03,1.333e+04,1.812e+04
18.6,1.735e+03,2.596e+03,1.602e+04,2.035e+04
20.1,1.266e+03,2.751e+03,1.865e+04,2.266e+04
21.5,1.402e+03,2.539e+03,2.103e+04,2.498e+04
22.9,1.380e+03,2.070e+03,2.333e+04,2.678e+04
24.4,1.042e+03,2.278e+03,2.720e+04,3.052e+04
25.8,8.301e+02,2.411e+03,3.304e+04,3.628e+04
27.2,7.152e+02,1.816e+03,3.977e+04,4.230e+04
28.7,7.383e+02,2.142e+03,4.681e+04,4.970e+04
30.1,7.835e+02,2.522e+03,5.639e+04,5.969e+04
31.5,1.112e+03,2.902e+03,6.951e+04,7.353e+04
33.0,9.875e+02,1.994e+03,8.684e+04,8.982e+04
34.4,9.731e+02,1.705e+03,1.105e+05,1.132e+05
35.8,9.839e+02,2.225e+03,1.421e+05,1.453e+05
37.3,1.296e+03,2.323e+03,1.807e+05,1.843e+05
38.7,1.543e+03,2.311e+03,2.377e+05,2.416e+05
40.1,1.283e+03,2.346e+03,3.271e+05,3.307e+05
41.6,9.816e+02,2.232e+03,4.825e+05,4.857e+05
43.0,1.107e+03,2.050e+03,7.860e+05,7.891e+05
44.4,1.465e+03,1.826e+03,1.430e+06,1.434e+06
45.9,1.389e+03,1.596e+03,2.566e+06,2.569e+06
47.3,1.131e+03,1.635e+03,3.313e+06,3.316e+06
48.7,1.256e+03,1.452e+03,2.938e+06,2.941e+06
50.2,1.309e+03,1.101e+03,2.179e+06,2.182e+06
51.6,1.085e+03,1.149e+03,1.559e+06,1.561e+06
53.0,9.138e+02,1.543e+03,1.111e+06,1.114e+06
54.5,8.719e+02,1.705e+03,7.996e+05,8.022e+05
55.9,1.068e+03,2.812e+03,6.156e+05,6.195e+05
57.3,1.207e+03,6.113e+03,5.342e+05,5.415e+05
58.8,1.379e+03,7.029e+03,4.769e+05,4.853e+05
60.2,1.033e+03,6.638e+03,4.272e+05,4.349e+05
61.6,1.090e+03,5.580e+03,3.745e+05,3.812e+05
63.1,9.758e+02,5.554e+03,3.211e+05,3.276e+05
64.5,9.435e+02,5.629e+03,2.970e+05,3.035e+05
65.9,9.225e+02,5.089e+03,2.988e+05,3.048e+05
67.4,9.935e+02,3.864e+03,3.145e+05,3.194e+05
68.8,1.163e+03,3.135e+03,3.215e+05,3.258e+05
70.2,1.333e+03,2.845e+03,3.054e+05,3.096e+05
71.7,1.648e+03,3.511e+03,2.782e+05,2.833e+05
73.1,1.632e+03,5.454e+03,2.528e+05,2.599e+05
74.5,1.537e+03,7.077e+03,2.336e+05,2.423e+05
76.0,1.605e+03,7.211e+03,2.153e+05,2.241e+05
77.4,2.335e+03,7.792e+03,1.938e+05,2.040e+05
78.8,3.244e+03,9.526e+03,1.693e+05,1.821e+05
80.3,5.670e+03,1.200e+04,1.516e+05,1.692e+05
81.7,7.534e+03,1.384e+04,1.377e+05,1.591e+05
83.1,8.384e+03,1.403e+04,1.239e+05,1.463e+05
84.6,1.605e+04,1.480e+04,1.104e+05,1.412e+05
86.0,1.410e+04,1.379e+04,9.840e+04,1.263e+05
87.4,1.408e+04,1.350e+04,8.952e+04,1.171e+05
88.9,1.186e+04,1.418e+04,8.200e+04,1.080e+05
90.3,9.436e+03,1.639e+04,7.687e+04,1.027e+05
91.7,8.013e+03,1.827e+04,7.398e+04,1.003e+05
93.2,8.323e+03,1.906e+04,7.312e+04,1.005e+05
94.6,8.436e+03,1.897e+04,7.282e+04,1.002e+05
96.0,8.478e+03,1.814e+04,7.199e+04,9.861e+04
97.5,8.561e+03,1.656e+04,7.538e+04,1.005e+05
98.9,7.228e+03,1.548e+04,7.953e+04,1.022e+05
100.3,6.735e+03,1.627e+04,8.211e+04,1.051e+05
101.8,5.987e+03,1.777e+04,8.472e+04,1.085e+05
103.2,6.355e+03,2.050e+04,9.100e+04,1.178e+05
104.6,6.277e+03,2.540e+04,9.730e+04,1.290e+05
